#  
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2023-06-26T19:33:49 [V7.32]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO protocol=ASU 
#INFO request_date=2023-06-26T19:33:49 
#INFO request_post=https://vizier.cfa.harvard.edu//viz-bin/asu-txt 
#-out=Inst
#
#INFO contact=cds-question@unistra.fr 
#INFO version=7.32 
#INFO -out.max=1000 

#RESOURCE=yCat_36700005
#Name: J/A+A/670/A5
#Title: GJ1022 radial velocity and FWHM data (Suarez Mascareno+, 2023)
#INFO ivoid=ivo://cds.vizier/j/a+a/670/a5    
#INFO publisher=CDS    
#INFO creator=Suarez Mascareno A.    
#INFO related_resource=bibcode:2023A&A...670A...5S    
#INFO landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/670/A5    
#INFO publication_id=doi:10.26093/cds/vizier.36700005    
#INFO publication_date=2023-02-15    
#INFO curation_level=RESEARCH    
#INFO rights=https://cds.unistra.fr/vizier-org/licences_vizier.html    
#Table J_A_A_670_A5_rvgj1002:
#Name: J/A+A/670/A5/rvgj1002
#Title: GJ 1022 radial velocity and FWHM data
#---Details of Columns:
#    Date (d)     (F8.3)  Observation date, BJD-2450000 [ucd=time.epoch;obs]
#    RV1 (m/s)    (F5.2)  Raw RV measurements [ucd=phys.veloc;pos.heliocentric]
#    RV2 (m/s)    (F5.2)  Offset corrected RV measurements [ucd=phys.veloc;pos.heliocentric]
#    RV3 (m/s)    (F5.2)  Activity corrected RV measurements (i.e. planetary variations) [ucd=phys.veloc;pos.heliocentric]
#    RV4 (m/s)    (F5.2)  Residuals after the fit (GP+2 planet model, circular) [ucd=phys.veloc;pos.heliocentric]
#    e_RV (m/s)   (F5.2)  RV internal uncertainties [ucd=stat.error]
#    FWHM1 (m/s)  (F6.2)  Raw FWHM measurements [ucd=spect.line.width]
#    FWHM2 (m/s)  (F6.2)  Raw FWHM measurements [ucd=spect.line.width]
#    FWHM3 (m/s)  (F6.2)  Temperature corrected FWHM measurements [ucd=spect.line.width]
#    e_FWHM (m/s) (F5.2)  FWHM internal uncertainties [ucd=stat.error;phys.angSize]
#    Temp (mK)    (I3)    Echelle grating temperature [ucd=phys.temperature]
#    Inst         (I1)    [0/3] Instrument (1) [ucd=meta.id;instr]
#-------- ----- ----- ----- ----- ----- ------ ------ ------ ----- --- -
#                                                                      I
#                                                            e_    Tem n
#        RV1   RV2   RV3   RV4   e_RV  FWHM1  FWHM2  FWHM3  FWHM  p ( s
#Date (d) (m/s) (m/s) (m/s) (m/s) (m/s) (m/s)  (m/s)  (m/s)  (m/s) mK) t
#-------- ----- ----- ----- ----- ----- ------ ------ ------ ----- --- -
7595.622 -1.27 -1.64 -2.10 -1.25  1.50  -0.78   2.86   3.83 12.09   9 0
7596.621  0.69  0.31 -0.33 -0.34  1.49  -5.51  -1.87  -0.82 11.93   9 0
7606.655  7.91  7.54  5.67  3.70  1.75  11.11  14.74  12.73 12.22 -12 0
7610.647  2.51  2.13  0.37  0.49  1.44   5.72   9.35   8.65 12.26  -4 0
7613.597 -1.40 -1.78 -3.26 -0.87  1.70   0.39   4.03   4.15 12.36   0 0
7617.599  0.00 -0.38 -1.27 -1.36  1.80  27.48  31.11  30.56 12.57  -4 0
7622.601  1.74  1.37  1.33  1.75  1.83   7.04  10.68   9.02 12.24 -11 0
7625.564 -0.17 -0.55 -0.10 -0.87  1.44  -6.14  -2.50  -5.43 12.54 -18 0
7626.587  1.35  0.97  1.56 -0.02  1.56  -3.61   0.03  -2.53 12.82 -16 0
7628.594  4.31  3.93  4.76  2.49  1.62  -0.58   3.06   0.87 12.57 -14 0
7629.549  0.13 -0.25  0.67 -1.20  2.10   3.15   6.79   4.78 12.35 -12 0
7631.494 -3.20 -3.57 -2.53 -2.42  1.65  -4.42  -0.78  -2.27 12.51  -9 0
7632.563 -3.19 -3.57 -2.50 -1.20  1.88  -6.06  -2.42  -3.59 12.33  -7 0
7633.515 -2.93 -3.31 -2.24 -0.22  1.42 -21.64 -18.00 -18.85 12.38  -6 0
7634.561 -1.98 -2.36 -1.33  0.94  1.64 -16.93 -13.30 -12.24 12.27   9 0
7635.583 -5.37 -5.75 -4.77 -2.81  1.87 -24.11 -20.48 -19.28 12.21  12 0
7636.626  0.21 -0.17  0.72  1.96  2.08 -12.35  -8.71  -7.51 12.18  12 0
7644.563  1.33  0.95  0.55  0.97  1.76 -31.72 -28.09 -26.71 12.83  14 0
7650.527  3.53  3.15  1.51 -0.31  1.93 -26.07 -22.43 -22.56 12.53   0 0
7652.573  3.56  3.18  1.17  1.54  1.54 -10.70  -7.07  -7.92 12.38  -6 0
7654.530  1.99  1.61 -0.70  1.31  1.48   2.32   5.96   5.10 12.43  -6 0
7655.514 -0.58 -0.96 -3.39 -1.27  1.62   7.97  11.60  11.05 12.51  -4 0
7659.508  4.06  3.69  0.94  0.81  1.52  18.69  22.32  20.66 12.50 -11 0
7672.476  2.47  2.09  0.20 -0.54  1.50  -2.57   1.06  -3.65 12.74 -26 0
7673.463  2.58  2.20  0.44  0.84  1.43  -6.08  -2.44  -7.16 12.69 -26 0
7676.445 -1.18 -1.56 -2.95 -1.00  1.84   5.61   9.25   2.42 12.86 -36 0
7685.448 -1.02 -1.40 -1.96 -1.05  2.49   3.21   6.85  -6.05 11.43 -67 0
7688.437  1.71  1.33  0.90 -0.42  1.70  15.15  18.79   6.05 12.14 -67 0
